 #calculated the component:  2  2  of dielectric function
 #broadening:    0.000000E+00    2.000000E-03
 #scissors shift:    0.000000E+00
 #energy window:    7.884463E+01eV    2.897487E+00Ha

 # Energy(eV)         Im(eps(w))
    2.721138E-04    2.914286E-06
    5.442277E-04    5.828573E-06
    8.163415E-04    8.742859E-06
    1.088455E-03    1.165715E-05
    1.360569E-03    1.457143E-05
    1.632683E-03    1.748572E-05
    1.904797E-03    2.040001E-05
    2.176911E-03    2.331430E-05
    2.449025E-03    2.622859E-05
    2.721138E-03    2.914289E-05
    2.993252E-03    3.205718E-05
    3.265366E-03    3.497148E-05
    3.537480E-03    3.788578E-05
    3.809594E-03    4.080008E-05
    4.081708E-03    4.371438E-05
    4.353821E-03    4.662868E-05
    4.625935E-03    4.954299E-05
    4.898049E-03    5.245730E-05
    5.170163E-03    5.537161E-05
    5.442277E-03    5.828593E-05
    5.714391E-03    6.120025E-05
    5.986504E-03    6.411457E-05
    6.258618E-03    6.702889E-05
    6.530732E-03    6.994322E-05
    6.802846E-03    7.285755E-05
    7.074960E-03    7.577189E-05
    7.347074E-03    7.868623E-05
    7.619187E-03    8.160057E-05
    7.891301E-03    8.451492E-05
    8.163415E-03    8.742927E-05
    8.435529E-03    9.034363E-05
    8.707643E-03    9.325799E-05
    8.979757E-03    9.617236E-05
    9.251870E-03    9.908673E-05
    9.523984E-03    1.020011E-04
    9.796098E-03    1.049155E-04
    1.006821E-02    1.078299E-04
    1.034033E-02    1.107443E-04
    1.061244E-02    1.136587E-04
    1.088455E-02    1.165731E-04
    1.115667E-02    1.194875E-04
    1.142878E-02    1.224019E-04
    1.170090E-02    1.253163E-04
    1.197301E-02    1.282308E-04
    1.224512E-02    1.311452E-04
    1.251724E-02    1.340596E-04
    1.278935E-02    1.369741E-04
    1.306146E-02    1.398886E-04
    1.333358E-02    1.428030E-04
    1.360569E-02    1.457175E-04
    1.387781E-02    1.486320E-04
    1.414992E-02    1.515465E-04
    1.442203E-02    1.544610E-04
    1.469415E-02    1.573755E-04
    1.496626E-02    1.602900E-04
    1.523837E-02    1.632045E-04
    1.551049E-02    1.661190E-04
    1.578260E-02    1.690336E-04
    1.605472E-02    1.719481E-04
    1.632683E-02    1.748627E-04
    1.659894E-02    1.777773E-04
    1.687106E-02    1.806918E-04
    1.714317E-02    1.836064E-04
    1.741529E-02    1.865210E-04
    1.768740E-02    1.894356E-04
    1.795951E-02    1.923502E-04
    1.823163E-02    1.952649E-04
    1.850374E-02    1.981795E-04
    1.877585E-02    2.010941E-04
    1.904797E-02    2.040088E-04
    1.932008E-02    2.069235E-04
    1.959220E-02    2.098381E-04
    1.986431E-02    2.127528E-04
    2.013642E-02    2.156675E-04
    2.040854E-02    2.185822E-04
    2.068065E-02    2.214970E-04
    2.095277E-02    2.244117E-04
    2.122488E-02    2.273264E-04
    2.149699E-02    2.302412E-04
    2.176911E-02    2.331560E-04
    2.204122E-02    2.360708E-04
    2.231333E-02    2.389855E-04
    2.258545E-02    2.419004E-04
    2.285756E-02    2.448152E-04
    2.312968E-02    2.477300E-04
    2.340179E-02    2.506449E-04
    2.367390E-02    2.535597E-04
    2.394602E-02    2.564746E-04
    2.421813E-02    2.593895E-04
    2.449025E-02    2.623044E-04
    2.476236E-02    2.652193E-04
