 #calculated the component:  2  2  of dielectric function
 #broadening:    0.000000E+00    2.000000E-03
 #scissors shift:    0.000000E+00
 #energy window:    8.078344E+01eV    2.968737E+00Ha

 # Energy(eV)         Im(eps(w))
    2.721138E-04    4.744602E-06
    5.442277E-04    9.489203E-06
    8.163415E-04    1.423381E-05
    1.088455E-03    1.897841E-05
    1.360569E-03    2.372301E-05
    1.632683E-03    2.846762E-05
    1.904797E-03    3.321223E-05
    2.176911E-03    3.795684E-05
    2.449025E-03    4.270145E-05
    2.721138E-03    4.744607E-05
    2.993252E-03    5.219069E-05
    3.265366E-03    5.693531E-05
    3.537480E-03    6.167994E-05
    3.809594E-03    6.642457E-05
    4.081708E-03    7.116920E-05
    4.353821E-03    7.591384E-05
    4.625935E-03    8.065849E-05
    4.898049E-03    8.540314E-05
    5.170163E-03    9.014780E-05
    5.442277E-03    9.489246E-05
    5.714391E-03    9.963713E-05
    5.986504E-03    1.043818E-04
    6.258618E-03    1.091265E-04
    6.530732E-03    1.138712E-04
    6.802846E-03    1.186159E-04
    7.074960E-03    1.233606E-04
    7.347074E-03    1.281053E-04
    7.619187E-03    1.328500E-04
    7.891301E-03    1.375948E-04
    8.163415E-03    1.423395E-04
    8.435529E-03    1.470842E-04
    8.707643E-03    1.518290E-04
    8.979757E-03    1.565738E-04
    9.251870E-03    1.613186E-04
    9.523984E-03    1.660634E-04
    9.796098E-03    1.708082E-04
    1.006821E-02    1.755530E-04
    1.034033E-02    1.802978E-04
    1.061244E-02    1.850426E-04
    1.088455E-02    1.897875E-04
    1.115667E-02    1.945324E-04
    1.142878E-02    1.992772E-04
    1.170090E-02    2.040221E-04
    1.197301E-02    2.087670E-04
    1.224512E-02    2.135120E-04
    1.251724E-02    2.182569E-04
    1.278935E-02    2.230018E-04
    1.306146E-02    2.277468E-04
    1.333358E-02    2.324918E-04
    1.360569E-02    2.372368E-04
    1.387781E-02    2.419818E-04
    1.414992E-02    2.467268E-04
    1.442203E-02    2.514719E-04
    1.469415E-02    2.562169E-04
    1.496626E-02    2.609620E-04
    1.523837E-02    2.657071E-04
    1.551049E-02    2.704522E-04
    1.578260E-02    2.751974E-04
    1.605472E-02    2.799425E-04
    1.632683E-02    2.846877E-04
    1.659894E-02    2.894329E-04
    1.687106E-02    2.941781E-04
    1.714317E-02    2.989233E-04
    1.741529E-02    3.036686E-04
    1.768740E-02    3.084138E-04
    1.795951E-02    3.131591E-04
    1.823163E-02    3.179044E-04
    1.850374E-02    3.226498E-04
    1.877585E-02    3.273951E-04
    1.904797E-02    3.321405E-04
    1.932008E-02    3.368859E-04
    1.959220E-02    3.416313E-04
    1.986431E-02    3.463768E-04
    2.013642E-02    3.511223E-04
    2.040854E-02    3.558677E-04
    2.068065E-02    3.606133E-04
    2.095277E-02    3.653588E-04
    2.122488E-02    3.701044E-04
    2.149699E-02    3.748500E-04
    2.176911E-02    3.795956E-04
    2.204122E-02    3.843412E-04
    2.231333E-02    3.890869E-04
    2.258545E-02    3.938326E-04
    2.285756E-02    3.985783E-04
    2.312968E-02    4.033241E-04
    2.340179E-02    4.080699E-04
    2.367390E-02    4.128157E-04
    2.394602E-02    4.175615E-04
    2.421813E-02    4.223074E-04
    2.449025E-02    4.270532E-04
    2.476236E-02    4.317992E-04
    2.503447E-02    4.365451E-04
    2.530659E-02    4.412911E-04
    2.557870E-02    4.460371E-04
    2.585081E-02    4.507831E-04
    2.612293E-02    4.555292E-04
    2.639504E-02    4.602753E-04
    2.666716E-02    4.650214E-04
    2.693927E-02    4.697676E-04
    2.721138E-02    4.745138E-04
    2.748350E-02    4.792600E-04
    2.775561E-02    4.840063E-04
    2.802773E-02    4.887526E-04
    2.829984E-02    4.934989E-04
    2.857195E-02    4.982453E-04
    2.884407E-02    5.029917E-04
    2.911618E-02    5.077381E-04
    2.938829E-02    5.124846E-04
    2.966041E-02    5.172311E-04
    2.993252E-02    5.219776E-04
    3.020464E-02    5.267242E-04
    3.047675E-02    5.314708E-04
    3.074886E-02    5.362174E-04
    3.102098E-02    5.409641E-04
    3.129309E-02    5.457108E-04
    3.156521E-02    5.504575E-04
    3.183732E-02    5.552043E-04
    3.210943E-02    5.599511E-04
    3.238155E-02    5.646980E-04
    3.265366E-02    5.694449E-04
    3.292577E-02    5.741918E-04
    3.319789E-02    5.789388E-04
    3.347000E-02    5.836858E-04
    3.374212E-02    5.884329E-04
    3.401423E-02    5.931800E-04
    3.428634E-02    5.979271E-04
    3.455846E-02    6.026743E-04
    3.483057E-02    6.074215E-04
    3.510269E-02    6.121688E-04
    3.537480E-02    6.169161E-04
    3.564691E-02    6.216634E-04
    3.591903E-02    6.264108E-04
    3.619114E-02    6.311582E-04
    3.646325E-02    6.359057E-04
    3.673537E-02    6.406532E-04
    3.700748E-02    6.454008E-04
    3.727960E-02    6.501484E-04
    3.755171E-02    6.548960E-04
    3.782382E-02    6.596437E-04
    3.809594E-02    6.643915E-04
    3.836805E-02    6.691392E-04
    3.864017E-02    6.738871E-04
    3.891228E-02    6.786349E-04
    3.918439E-02    6.833829E-04
    3.945651E-02    6.881308E-04
    3.972862E-02    6.928788E-04
    4.000073E-02    6.976269E-04
    4.027285E-02    7.023750E-04
    4.054496E-02    7.071231E-04
    4.081708E-02    7.118713E-04
    4.108919E-02    7.166196E-04
    4.136130E-02    7.213679E-04
    4.163342E-02    7.261162E-04
    4.190553E-02    7.308646E-04
    4.217764E-02    7.356131E-04
    4.244976E-02    7.403616E-04
    4.272187E-02    7.451101E-04
    4.299399E-02    7.498587E-04
    4.326610E-02    7.546074E-04
    4.353821E-02    7.593561E-04
    4.381033E-02    7.641048E-04
    4.408244E-02    7.688536E-04
    4.435456E-02    7.736025E-04
    4.462667E-02    7.783514E-04
    4.489878E-02    7.831003E-04
    4.517090E-02    7.878493E-04
    4.544301E-02    7.925984E-04
    4.571512E-02    7.973475E-04
    4.598724E-02    8.020967E-04
    4.625935E-02    8.068459E-04
    4.653147E-02    8.115952E-04
    4.680358E-02    8.163446E-04
    4.707569E-02    8.210940E-04
    4.734781E-02    8.258434E-04
    4.761992E-02    8.305929E-04
    4.789204E-02    8.353425E-04
    4.816415E-02    8.400921E-04
    4.843626E-02    8.448418E-04
    4.870838E-02    8.495915E-04
    4.898049E-02    8.543413E-04
    4.925260E-02    8.590911E-04
    4.952472E-02    8.638410E-04
    4.979683E-02    8.685910E-04
    5.006895E-02    8.733410E-04
    5.034106E-02    8.780911E-04
    5.061317E-02    8.828413E-04
    5.088529E-02    8.875915E-04
    5.115740E-02    8.923417E-04
    5.142952E-02    8.970921E-04
    5.170163E-02    9.018424E-04
    5.197374E-02    9.065929E-04
    5.224586E-02    9.113434E-04
