 #calculated the component:  2  2  of dielectric function
 #broadening:    0.000000E+00    2.000000E-03
 #scissors shift:    0.000000E+00
 #energy window:    8.050598E+01eV    2.958540E+00Ha

 # Energy(eV)         Im(eps(w))
    2.721138E-04    2.599959E-06
    5.442277E-04    5.199918E-06
    8.163415E-04    7.799878E-06
    1.088455E-03    1.039984E-05
    1.360569E-03    1.299980E-05
    1.632683E-03    1.559976E-05
    1.904797E-03    1.819972E-05
    2.176911E-03    2.079968E-05
    2.449025E-03    2.339965E-05
    2.721138E-03    2.599961E-05
    2.993252E-03    2.859958E-05
    3.265366E-03    3.119954E-05
    3.537480E-03    3.379951E-05
    3.809594E-03    3.639948E-05
    4.081708E-03    3.899945E-05
    4.353821E-03    4.159942E-05
    4.625935E-03    4.419940E-05
    4.898049E-03    4.679937E-05
    5.170163E-03    4.939935E-05
    5.442277E-03    5.199933E-05
    5.714391E-03    5.459931E-05
    5.986504E-03    5.719930E-05
    6.258618E-03    5.979929E-05
    6.530732E-03    6.239928E-05
    6.802846E-03    6.499927E-05
    7.074960E-03    6.759927E-05
    7.347074E-03    7.019926E-05
    7.619187E-03    7.279927E-05
    7.891301E-03    7.539927E-05
    8.163415E-03    7.799928E-05
    8.435529E-03    8.059929E-05
    8.707643E-03    8.319930E-05
    8.979757E-03    8.579932E-05
    9.251870E-03    8.839935E-05
    9.523984E-03    9.099937E-05
    9.796098E-03    9.359940E-05
    1.006821E-02    9.619943E-05
    1.034033E-02    9.879947E-05
    1.061244E-02    1.013995E-04
    1.088455E-02    1.039996E-04
    1.115667E-02    1.065996E-04
    1.142878E-02    1.091997E-04
    1.170090E-02    1.117997E-04
    1.197301E-02    1.143998E-04
    1.224512E-02    1.169999E-04
    1.251724E-02    1.195999E-04
    1.278935E-02    1.222000E-04
    1.306146E-02    1.248001E-04
    1.333358E-02    1.274002E-04
    1.360569E-02    1.300003E-04
    1.387781E-02    1.326004E-04
    1.414992E-02    1.352005E-04
    1.442203E-02    1.378006E-04
    1.469415E-02    1.404007E-04
    1.496626E-02    1.430009E-04
    1.523837E-02    1.456010E-04
    1.551049E-02    1.482011E-04
    1.578260E-02    1.508013E-04
    1.605472E-02    1.534014E-04
    1.632683E-02    1.560016E-04
    1.659894E-02    1.586018E-04
    1.687106E-02    1.612019E-04
    1.714317E-02    1.638021E-04
    1.741529E-02    1.664023E-04
    1.768740E-02    1.690025E-04
    1.795951E-02    1.716027E-04
    1.823163E-02    1.742029E-04
    1.850374E-02    1.768031E-04
    1.877585E-02    1.794033E-04
    1.904797E-02    1.820036E-04
    1.932008E-02    1.846038E-04
    1.959220E-02    1.872040E-04
    1.986431E-02    1.898043E-04
    2.013642E-02    1.924046E-04
    2.040854E-02    1.950048E-04
    2.068065E-02    1.976051E-04
    2.095277E-02    2.002054E-04
    2.122488E-02    2.028057E-04
    2.149699E-02    2.054060E-04
    2.176911E-02    2.080063E-04
    2.204122E-02    2.106066E-04
    2.231333E-02    2.132070E-04
    2.258545E-02    2.158073E-04
    2.285756E-02    2.184077E-04
    2.312968E-02    2.210080E-04
    2.340179E-02    2.236084E-04
    2.367390E-02    2.262088E-04
    2.394602E-02    2.288092E-04
    2.421813E-02    2.314095E-04
    2.449025E-02    2.340100E-04
    2.476236E-02    2.366104E-04
    2.503447E-02    2.392108E-04
    2.530659E-02    2.418112E-04
    2.557870E-02    2.444117E-04
    2.585081E-02    2.470122E-04
    2.612293E-02    2.496126E-04
    2.639504E-02    2.522131E-04
    2.666716E-02    2.548136E-04
    2.693927E-02    2.574141E-04
    2.721138E-02    2.600146E-04
    2.748350E-02    2.626151E-04
    2.775561E-02    2.652157E-04
    2.802773E-02    2.678162E-04
    2.829984E-02    2.704168E-04
    2.857195E-02    2.730174E-04
    2.884407E-02    2.756179E-04
    2.911618E-02    2.782185E-04
    2.938829E-02    2.808192E-04
    2.966041E-02    2.834198E-04
    2.993252E-02    2.860204E-04
    3.020464E-02    2.886210E-04
    3.047675E-02    2.912217E-04
    3.074886E-02    2.938224E-04
    3.102098E-02    2.964231E-04
    3.129309E-02    2.990238E-04
    3.156521E-02    3.016245E-04
    3.183732E-02    3.042252E-04
    3.210943E-02    3.068259E-04
