 #calculated the component:  2  2  of dielectric function
 #broadening:    0.000000E+00    2.000000E-03
 #scissors shift:    0.000000E+00
 #energy window:    7.949668E+01eV    2.921450E+00Ha

 # Energy(eV)         Im(eps(w))
    2.721138E-04    2.612618E-06
    5.442277E-04    5.225236E-06
    8.163415E-04    7.837854E-06
    1.088455E-03    1.045047E-05
    1.360569E-03    1.306309E-05
    1.632683E-03    1.567571E-05
    1.904797E-03    1.828833E-05
    2.176911E-03    2.090095E-05
    2.449025E-03    2.351357E-05
    2.721138E-03    2.612620E-05
    2.993252E-03    2.873882E-05
    3.265366E-03    3.135145E-05
    3.537480E-03    3.396408E-05
    3.809594E-03    3.657671E-05
    4.081708E-03    3.918934E-05
    4.353821E-03    4.180197E-05
    4.625935E-03    4.441460E-05
    4.898049E-03    4.702724E-05
    5.170163E-03    4.963988E-05
    5.442277E-03    5.225252E-05
    5.714391E-03    5.486517E-05
    5.986504E-03    5.747781E-05
    6.258618E-03    6.009046E-05
    6.530732E-03    6.270311E-05
    6.802846E-03    6.531577E-05
    7.074960E-03    6.792843E-05
    7.347074E-03    7.054109E-05
    7.619187E-03    7.315376E-05
    7.891301E-03    7.576642E-05
    8.163415E-03    7.837910E-05
    8.435529E-03    8.099177E-05
    8.707643E-03    8.360445E-05
    8.979757E-03    8.621714E-05
    9.251870E-03    8.882982E-05
    9.523984E-03    9.144252E-05
    9.796098E-03    9.405521E-05
    1.006821E-02    9.666791E-05
    1.034033E-02    9.928062E-05
    1.061244E-02    1.018933E-04
    1.088455E-02    1.045060E-04
    1.115667E-02    1.071188E-04
    1.142878E-02    1.097315E-04
    1.170090E-02    1.123442E-04
    1.197301E-02    1.149570E-04
    1.224512E-02    1.175697E-04
    1.251724E-02    1.201824E-04
    1.278935E-02    1.227952E-04
    1.306146E-02    1.254080E-04
    1.333358E-02    1.280207E-04
    1.360569E-02    1.306335E-04
    1.387781E-02    1.332463E-04
    1.414992E-02    1.358591E-04
    1.442203E-02    1.384719E-04
    1.469415E-02    1.410846E-04
    1.496626E-02    1.436975E-04
    1.523837E-02    1.463103E-04
    1.551049E-02    1.489231E-04
    1.578260E-02    1.515359E-04
    1.605472E-02    1.541487E-04
    1.632683E-02    1.567616E-04
    1.659894E-02    1.593744E-04
    1.687106E-02    1.619873E-04
    1.714317E-02    1.646001E-04
    1.741529E-02    1.672130E-04
    1.768740E-02    1.698259E-04
    1.795951E-02    1.724388E-04
    1.823163E-02    1.750517E-04
    1.850374E-02    1.776646E-04
    1.877585E-02    1.802775E-04
    1.904797E-02    1.828904E-04
    1.932008E-02    1.855033E-04
    1.959220E-02    1.881163E-04
    1.986431E-02    1.907292E-04
    2.013642E-02    1.933422E-04
    2.040854E-02    1.959551E-04
    2.068065E-02    1.985681E-04
    2.095277E-02    2.011811E-04
    2.122488E-02    2.037941E-04
    2.149699E-02    2.064071E-04
    2.176911E-02    2.090201E-04
    2.204122E-02    2.116331E-04
    2.231333E-02    2.142462E-04
    2.258545E-02    2.168592E-04
    2.285756E-02    2.194723E-04
    2.312968E-02    2.220853E-04
    2.340179E-02    2.246984E-04
    2.367390E-02    2.273115E-04
    2.394602E-02    2.299246E-04
    2.421813E-02    2.325377E-04
    2.449025E-02    2.351508E-04
    2.476236E-02    2.377640E-04
    2.503447E-02    2.403771E-04
    2.530659E-02    2.429903E-04
    2.557870E-02    2.456034E-04
    2.585081E-02    2.482166E-04
    2.612293E-02    2.508298E-04
    2.639504E-02    2.534430E-04
    2.666716E-02    2.560562E-04
    2.693927E-02    2.586694E-04
    2.721138E-02    2.612827E-04
    2.748350E-02    2.638959E-04
    2.775561E-02    2.665092E-04
    2.802773E-02    2.691225E-04
    2.829984E-02    2.717357E-04
    2.857195E-02    2.743490E-04
    2.884407E-02    2.769624E-04
    2.911618E-02    2.795757E-04
    2.938829E-02    2.821890E-04
    2.966041E-02    2.848024E-04
    2.993252E-02    2.874158E-04
    3.020464E-02    2.900291E-04
    3.047675E-02    2.926425E-04
    3.074886E-02    2.952559E-04
    3.102098E-02    2.978694E-04
    3.129309E-02    3.004828E-04
    3.156521E-02    3.030963E-04
    3.183732E-02    3.057097E-04
    3.210943E-02    3.083232E-04
    3.238155E-02    3.109367E-04
    3.265366E-02    3.135502E-04
    3.292577E-02    3.161638E-04
    3.319789E-02    3.187773E-04
    3.347000E-02    3.213909E-04
    3.374212E-02    3.240044E-04
    3.401423E-02    3.266180E-04
    3.428634E-02    3.292316E-04
    3.455846E-02    3.318452E-04
    3.483057E-02    3.344589E-04
    3.510269E-02    3.370725E-04
    3.537480E-02    3.396862E-04
    3.564691E-02    3.422999E-04
    3.591903E-02    3.449136E-04
    3.619114E-02    3.475273E-04
    3.646325E-02    3.501410E-04
    3.673537E-02    3.527548E-04
