 #calculated the component:  2  2  of dielectric function
 #broadening:    0.000000E+00    2.000000E-03
 #scissors shift:    0.000000E+00
 #energy window:    7.832186E+01eV    2.878276E+00Ha

 # Energy(eV)         Im(eps(w))
    2.721138E-04    5.080771E-06
    5.442277E-04    1.016154E-05
    8.163415E-04    1.524232E-05
    1.088455E-03    2.032309E-05
    1.360569E-03    2.540386E-05
    1.632683E-03    3.048464E-05
    1.904797E-03    3.556542E-05
    2.176911E-03    4.064621E-05
    2.449025E-03    4.572699E-05
    2.721138E-03    5.080778E-05
    2.993252E-03    5.588858E-05
    3.265366E-03    6.096937E-05
    3.537480E-03    6.605018E-05
    3.809594E-03    7.113099E-05
    4.081708E-03    7.621180E-05
    4.353821E-03    8.129262E-05
    4.625935E-03    8.637345E-05
    4.898049E-03    9.145428E-05
    5.170163E-03    9.653512E-05
    5.442277E-03    1.016160E-04
    5.714391E-03    1.066968E-04
    5.986504E-03    1.117777E-04
    6.258618E-03    1.168586E-04
    6.530732E-03    1.219395E-04
    6.802846E-03    1.270204E-04
    7.074960E-03    1.321013E-04
    7.347074E-03    1.371822E-04
    7.619187E-03    1.422631E-04
    7.891301E-03    1.473440E-04
    8.163415E-03    1.524250E-04
    8.435529E-03    1.575060E-04
    8.707643E-03    1.625869E-04
    8.979757E-03    1.676679E-04
    9.251870E-03    1.727489E-04
    9.523984E-03    1.778299E-04
    9.796098E-03    1.829110E-04
    1.006821E-02    1.879920E-04
    1.034033E-02    1.930731E-04
    1.061244E-02    1.981542E-04
    1.088455E-02    2.032352E-04
    1.115667E-02    2.083164E-04
    1.142878E-02    2.133975E-04
    1.170090E-02    2.184786E-04
    1.197301E-02    2.235598E-04
    1.224512E-02    2.286410E-04
    1.251724E-02    2.337222E-04
    1.278935E-02    2.388034E-04
    1.306146E-02    2.438846E-04
    1.333358E-02    2.489659E-04
    1.360569E-02    2.540471E-04
    1.387781E-02    2.591284E-04
    1.414992E-02    2.642098E-04
    1.442203E-02    2.692911E-04
    1.469415E-02    2.743725E-04
    1.496626E-02    2.794538E-04
    1.523837E-02    2.845353E-04
    1.551049E-02    2.896167E-04
    1.578260E-02    2.946981E-04
    1.605472E-02    2.997796E-04
    1.632683E-02    3.048611E-04
    1.659894E-02    3.099426E-04
    1.687106E-02    3.150242E-04
    1.714317E-02    3.201058E-04
    1.741529E-02    3.251874E-04
    1.768740E-02    3.302690E-04
    1.795951E-02    3.353507E-04
    1.823163E-02    3.404323E-04
    1.850374E-02    3.455140E-04
    1.877585E-02    3.505958E-04
    1.904797E-02    3.556776E-04
    1.932008E-02    3.607593E-04
    1.959220E-02    3.658412E-04
    1.986431E-02    3.709230E-04
    2.013642E-02    3.760049E-04
    2.040854E-02    3.810868E-04
    2.068065E-02    3.861688E-04
    2.095277E-02    3.912508E-04
    2.122488E-02    3.963328E-04
    2.149699E-02    4.014148E-04
    2.176911E-02    4.064969E-04
    2.204122E-02    4.115790E-04
    2.231333E-02    4.166611E-04
    2.258545E-02    4.217433E-04
    2.285756E-02    4.268255E-04
    2.312968E-02    4.319077E-04
    2.340179E-02    4.369900E-04
    2.367390E-02    4.420723E-04
    2.394602E-02    4.471547E-04
    2.421813E-02    4.522371E-04
    2.449025E-02    4.573195E-04
    2.476236E-02    4.624020E-04
    2.503447E-02    4.674845E-04
    2.530659E-02    4.725670E-04
    2.557870E-02    4.776496E-04
    2.585081E-02    4.827322E-04
    2.612293E-02    4.878148E-04
    2.639504E-02    4.928975E-04
    2.666716E-02    4.979802E-04
    2.693927E-02    5.030630E-04
    2.721138E-02    5.081458E-04
    2.748350E-02    5.132287E-04
    2.775561E-02    5.183116E-04
    2.802773E-02    5.233945E-04
    2.829984E-02    5.284775E-04
    2.857195E-02    5.335605E-04
    2.884407E-02    5.386436E-04
    2.911618E-02    5.437267E-04
    2.938829E-02    5.488098E-04
    2.966041E-02    5.538930E-04
    2.993252E-02    5.589763E-04
    3.020464E-02    5.640596E-04
    3.047675E-02    5.691429E-04
    3.074886E-02    5.742263E-04
    3.102098E-02    5.793097E-04
    3.129309E-02    5.843932E-04
    3.156521E-02    5.894767E-04
    3.183732E-02    5.945603E-04
    3.210943E-02    5.996439E-04
    3.238155E-02    6.047276E-04
    3.265366E-02    6.098113E-04
    3.292577E-02    6.148950E-04
    3.319789E-02    6.199789E-04
    3.347000E-02    6.250627E-04
    3.374212E-02    6.301466E-04
    3.401423E-02    6.352306E-04
    3.428634E-02    6.403146E-04
    3.455846E-02    6.453987E-04
    3.483057E-02    6.504828E-04
    3.510269E-02    6.555670E-04
    3.537480E-02    6.606512E-04
    3.564691E-02    6.657355E-04
    3.591903E-02    6.708198E-04
    3.619114E-02    6.759042E-04
    3.646325E-02    6.809887E-04
    3.673537E-02    6.860732E-04
    3.700748E-02    6.911577E-04
    3.727960E-02    6.962424E-04
    3.755171E-02    7.013270E-04
    3.782382E-02    7.064117E-04
    3.809594E-02    7.114965E-04
    3.836805E-02    7.165814E-04
    3.864017E-02    7.216663E-04
    3.891228E-02    7.267512E-04
    3.918439E-02    7.318362E-04
    3.945651E-02    7.369213E-04
    3.972862E-02    7.420065E-04
    4.000073E-02    7.470917E-04
    4.027285E-02    7.521769E-04
    4.054496E-02    7.572622E-04
    4.081708E-02    7.623476E-04
    4.108919E-02    7.674331E-04
    4.136130E-02    7.725186E-04
    4.163342E-02    7.776041E-04
    4.190553E-02    7.826898E-04
    4.217764E-02    7.877754E-04
    4.244976E-02    7.928612E-04
    4.272187E-02    7.979470E-04
    4.299399E-02    8.030329E-04
    4.326610E-02    8.081189E-04
    4.353821E-02    8.132049E-04
    4.381033E-02    8.182910E-04
    4.408244E-02    8.233771E-04
    4.435456E-02    8.284633E-04
    4.462667E-02    8.335496E-04
    4.489878E-02    8.386360E-04
    4.517090E-02    8.437224E-04
    4.544301E-02    8.488089E-04
    4.571512E-02    8.538954E-04
    4.598724E-02    8.589821E-04
    4.625935E-02    8.640688E-04
    4.653147E-02    8.691555E-04
    4.680358E-02    8.742424E-04
    4.707569E-02    8.793293E-04
    4.734781E-02    8.844162E-04
    4.761992E-02    8.895033E-04
    4.789204E-02    8.945904E-04
    4.816415E-02    8.996776E-04
    4.843626E-02    9.047649E-04
    4.870838E-02    9.098522E-04
    4.898049E-02    9.149396E-04
    4.925260E-02    9.200271E-04
    4.952472E-02    9.251147E-04
    4.979683E-02    9.302023E-04
    5.006895E-02    9.352901E-04
    5.034106E-02    9.403778E-04
    5.061317E-02    9.454657E-04
    5.088529E-02    9.505537E-04
    5.115740E-02    9.556417E-04
    5.142952E-02    9.607298E-04
    5.170163E-02    9.658180E-04
    5.197374E-02    9.709062E-04
    5.224586E-02    9.759946E-04
    5.251797E-02    9.810830E-04
    5.279008E-02    9.861715E-04
    5.306220E-02    9.912600E-04
    5.333431E-02    9.963487E-04
    5.360643E-02    1.001437E-03
    5.387854E-02    1.006526E-03
    5.415065E-02    1.011615E-03
    5.442277E-02    1.016704E-03
    5.469488E-02    1.021793E-03
    5.496700E-02    1.026882E-03
    5.523911E-02    1.031972E-03
    5.551122E-02    1.037061E-03
    5.578334E-02    1.042150E-03
    5.605545E-02    1.047240E-03
    5.632756E-02    1.052329E-03
    5.659968E-02    1.057419E-03
    5.687179E-02    1.062509E-03
    5.714391E-02    1.067599E-03
    5.741602E-02    1.072688E-03
    5.768813E-02    1.077778E-03
    5.796025E-02    1.082869E-03
    5.823236E-02    1.087959E-03
    5.850448E-02    1.093049E-03
    5.877659E-02    1.098139E-03
    5.904870E-02    1.103230E-03
    5.932082E-02    1.108320E-03
    5.959293E-02    1.113411E-03
    5.986504E-02    1.118502E-03
    6.013716E-02    1.123592E-03
    6.040927E-02    1.128683E-03
    6.068139E-02    1.133774E-03
    6.095350E-02    1.138865E-03
    6.122561E-02    1.143957E-03
    6.149773E-02    1.149048E-03
    6.176984E-02    1.154139E-03
    6.204196E-02    1.159231E-03
    6.231407E-02    1.164322E-03
    6.258618E-02    1.169414E-03
    6.285830E-02    1.174506E-03
    6.313041E-02    1.179597E-03
    6.340252E-02    1.184689E-03
    6.367464E-02    1.189781E-03
    6.394675E-02    1.194873E-03
    6.421887E-02    1.199966E-03
    6.449098E-02    1.205058E-03
    6.476309E-02    1.210150E-03
    6.503521E-02    1.215243E-03
    6.530732E-02    1.220335E-03
    6.557944E-02    1.225428E-03
    6.585155E-02    1.230521E-03
    6.612366E-02    1.235614E-03
    6.639578E-02    1.240707E-03
    6.666789E-02    1.245800E-03
    6.694000E-02    1.250893E-03
    6.721212E-02    1.255987E-03
    6.748423E-02    1.261080E-03
    6.775635E-02    1.266173E-03
    6.802846E-02    1.271267E-03
    6.830057E-02    1.276361E-03
    6.857269E-02    1.281455E-03
    6.884480E-02    1.286549E-03
    6.911691E-02    1.291643E-03
    6.938903E-02    1.296737E-03
    6.966114E-02    1.301831E-03
    6.993326E-02    1.306925E-03
    7.020537E-02    1.312020E-03
    7.047748E-02    1.317114E-03
    7.074960E-02    1.322209E-03
    7.102171E-02    1.327304E-03
    7.129383E-02    1.332399E-03
    7.156594E-02    1.337494E-03
    7.183805E-02    1.342589E-03
    7.211017E-02    1.347684E-03
    7.238228E-02    1.352779E-03
    7.265439E-02    1.357875E-03
    7.292651E-02    1.362970E-03
    7.319862E-02    1.368066E-03
    7.347074E-02    1.373162E-03
    7.374285E-02    1.378258E-03
    7.401496E-02    1.383354E-03
    7.428708E-02    1.388450E-03
    7.455919E-02    1.393546E-03
    7.483131E-02    1.398642E-03
    7.510342E-02    1.403739E-03
    7.537553E-02    1.408835E-03
    7.564765E-02    1.413932E-03
    7.591976E-02    1.419029E-03
    7.619187E-02    1.424126E-03
    7.646399E-02    1.429223E-03
    7.673610E-02    1.434320E-03
    7.700822E-02    1.439417E-03
    7.728033E-02    1.444514E-03
    7.755244E-02    1.449612E-03
    7.782456E-02    1.454709E-03
    7.809667E-02    1.459807E-03
    7.836879E-02    1.464905E-03
    7.864090E-02    1.470003E-03
    7.891301E-02    1.475101E-03
    7.918513E-02    1.480199E-03
    7.945724E-02    1.485297E-03
    7.972935E-02    1.490396E-03
    8.000147E-02    1.495494E-03
    8.027358E-02    1.500593E-03
    8.054570E-02    1.505692E-03
    8.081781E-02    1.510791E-03
    8.108992E-02    1.515890E-03
    8.136204E-02    1.520989E-03
    8.163415E-02    1.526088E-03
    8.190627E-02    1.531188E-03
    8.217838E-02    1.536287E-03
    8.245049E-02    1.541387E-03
    8.272261E-02    1.546487E-03
    8.299472E-02    1.551587E-03
    8.326683E-02    1.556687E-03
    8.353895E-02    1.561787E-03
    8.381106E-02    1.566887E-03
    8.408318E-02    1.571988E-03
    8.435529E-02    1.577088E-03
    8.462740E-02    1.582189E-03
    8.489952E-02    1.587290E-03
    8.517163E-02    1.592391E-03
    8.544375E-02    1.597492E-03
    8.571586E-02    1.602593E-03
    8.598797E-02    1.607694E-03
    8.626009E-02    1.612796E-03
    8.653220E-02    1.617897E-03
    8.680431E-02    1.622999E-03
    8.707643E-02    1.628101E-03
    8.734854E-02    1.633203E-03
    8.762066E-02    1.638305E-03
    8.789277E-02    1.643407E-03
    8.816488E-02    1.648510E-03
    8.843700E-02    1.653612E-03
    8.870911E-02    1.658715E-03
    8.898123E-02    1.663818E-03
    8.925334E-02    1.668921E-03
    8.952545E-02    1.674024E-03
    8.979757E-02    1.679127E-03
    9.006968E-02    1.684230E-03
    9.034179E-02    1.689334E-03
    9.061391E-02    1.694437E-03
    9.088602E-02    1.699541E-03
    9.115814E-02    1.704645E-03
    9.143025E-02    1.709749E-03
    9.170236E-02    1.714853E-03
    9.197448E-02    1.719957E-03
    9.224659E-02    1.725062E-03
    9.251870E-02    1.730166E-03
    9.279082E-02    1.735271E-03
    9.306293E-02    1.740376E-03
    9.333505E-02    1.745481E-03
    9.360716E-02    1.750586E-03
    9.387927E-02    1.755691E-03
    9.415139E-02    1.760797E-03
    9.442350E-02    1.765902E-03
    9.469562E-02    1.771008E-03
    9.496773E-02    1.776114E-03
    9.523984E-02    1.781220E-03
    9.551196E-02    1.786326E-03
    9.578407E-02    1.791432E-03
    9.605618E-02    1.796539E-03
    9.632830E-02    1.801646E-03
    9.660041E-02    1.806752E-03
    9.687253E-02    1.811859E-03
    9.714464E-02    1.816966E-03
    9.741675E-02    1.822073E-03
    9.768887E-02    1.827181E-03
    9.796098E-02    1.832288E-03
    9.823310E-02    1.837396E-03
    9.850521E-02    1.842504E-03
    9.877732E-02    1.847612E-03
    9.904944E-02    1.852720E-03
    9.932155E-02    1.857828E-03
    9.959366E-02    1.862936E-03
    9.986578E-02    1.868045E-03
    1.001379E-01    1.873153E-03
    1.004100E-01    1.878262E-03
    1.006821E-01    1.883371E-03
    1.009542E-01    1.888480E-03
    1.012263E-01    1.893590E-03
    1.014985E-01    1.898699E-03
    1.017706E-01    1.903809E-03
    1.020427E-01    1.908919E-03
    1.023148E-01    1.914028E-03
    1.025869E-01    1.919139E-03
    1.028590E-01    1.924249E-03
    1.031311E-01    1.929359E-03
    1.034033E-01    1.934470E-03
    1.036754E-01    1.939580E-03
    1.039475E-01    1.944691E-03
    1.042196E-01    1.949802E-03
    1.044917E-01    1.954913E-03
    1.047638E-01    1.960025E-03
    1.050359E-01    1.965136E-03
    1.053081E-01    1.970248E-03
    1.055802E-01    1.975360E-03
    1.058523E-01    1.980472E-03
    1.061244E-01    1.985584E-03
    1.063965E-01    1.990696E-03
    1.066686E-01    1.995809E-03
    1.069407E-01    2.000921E-03
    1.072129E-01    2.006034E-03
    1.074850E-01    2.011147E-03
    1.077571E-01    2.016260E-03
    1.080292E-01    2.021373E-03
    1.083013E-01    2.026487E-03
    1.085734E-01    2.031600E-03
    1.088455E-01    2.036714E-03
    1.091176E-01    2.041828E-03
    1.093898E-01    2.046942E-03
    1.096619E-01    2.052057E-03
    1.099340E-01    2.057171E-03
    1.102061E-01    2.062286E-03
    1.104782E-01    2.067400E-03
    1.107503E-01    2.072515E-03
    1.110224E-01    2.077630E-03
    1.112946E-01    2.082746E-03
    1.115667E-01    2.087861E-03
    1.118388E-01    2.092977E-03
    1.121109E-01    2.098093E-03
    1.123830E-01    2.103209E-03
    1.126551E-01    2.108325E-03
    1.129272E-01    2.113441E-03
    1.131994E-01    2.118557E-03
    1.134715E-01    2.123674E-03
    1.137436E-01    2.128791E-03
    1.140157E-01    2.133908E-03
    1.142878E-01    2.139025E-03
    1.145599E-01    2.144142E-03
    1.148320E-01    2.149260E-03
    1.151042E-01    2.154378E-03
    1.153763E-01    2.159496E-03
    1.156484E-01    2.164614E-03
    1.159205E-01    2.169732E-03
    1.161926E-01    2.174850E-03
    1.164647E-01    2.179969E-03
    1.167368E-01    2.185088E-03
    1.170090E-01    2.190207E-03
    1.172811E-01    2.195326E-03
    1.175532E-01    2.200445E-03
    1.178253E-01    2.205564E-03
    1.180974E-01    2.210684E-03
    1.183695E-01    2.215804E-03
    1.186416E-01    2.220924E-03
    1.189137E-01    2.226044E-03
    1.191859E-01    2.231165E-03
    1.194580E-01    2.236285E-03
    1.197301E-01    2.241406E-03
    1.200022E-01    2.246527E-03
    1.202743E-01    2.251648E-03
    1.205464E-01    2.256769E-03
    1.208185E-01    2.261891E-03
    1.210907E-01    2.267012E-03
    1.213628E-01    2.272134E-03
    1.216349E-01    2.277256E-03
    1.219070E-01    2.282378E-03
    1.221791E-01    2.287501E-03
    1.224512E-01    2.292623E-03
    1.227233E-01    2.297746E-03
    1.229955E-01    2.302869E-03
    1.232676E-01    2.307992E-03
    1.235397E-01    2.313116E-03
    1.238118E-01    2.318239E-03
    1.240839E-01    2.323363E-03
    1.243560E-01    2.328487E-03
    1.246281E-01    2.333611E-03
    1.249003E-01    2.338735E-03
    1.251724E-01    2.343860E-03
    1.254445E-01    2.348984E-03
    1.257166E-01    2.354109E-03
    1.259887E-01    2.359234E-03
    1.262608E-01    2.364360E-03
    1.265329E-01    2.369485E-03
    1.268050E-01    2.374611E-03
    1.270772E-01    2.379736E-03
    1.273493E-01    2.384862E-03
    1.276214E-01    2.389989E-03
    1.278935E-01    2.395115E-03
    1.281656E-01    2.400242E-03
