 #calculated the component:  2  2  of dielectric function
 #broadening:    0.000000E+00    2.000000E-03
 #scissors shift:    0.000000E+00
 #energy window:    6.536811E+01eV    2.402234E+00Ha

 # Energy(eV)         Im(eps(w))
    2.721138E-04    6.918951E-06
    5.442277E-04    1.383790E-05
    8.163415E-04    2.075686E-05
    1.088455E-03    2.767581E-05
    1.360569E-03    3.459477E-05
    1.632683E-03    4.151374E-05
    1.904797E-03    4.843270E-05
    2.176911E-03    5.535168E-05
    2.449025E-03    6.227066E-05
    2.721138E-03    6.918964E-05
    2.993252E-03    7.610864E-05
    3.265366E-03    8.302764E-05
    3.537480E-03    8.994665E-05
    3.809594E-03    9.686568E-05
    4.081708E-03    1.037847E-04
    4.353821E-03    1.107038E-04
    4.625935E-03    1.176228E-04
    4.898049E-03    1.245419E-04
    5.170163E-03    1.314610E-04
    5.442277E-03    1.383801E-04
    5.714391E-03    1.452992E-04
    5.986504E-03    1.522183E-04
    6.258618E-03    1.591375E-04
    6.530732E-03    1.660566E-04
    6.802846E-03    1.729758E-04
    7.074960E-03    1.798950E-04
    7.347074E-03    1.868142E-04
    7.619187E-03    1.937335E-04
    7.891301E-03    2.006528E-04
    8.163415E-03    2.075721E-04
    8.435529E-03    2.144914E-04
    8.707643E-03    2.214107E-04
    8.979757E-03    2.283301E-04
    9.251870E-03    2.352495E-04
    9.523984E-03    2.421689E-04
    9.796098E-03    2.490883E-04
    1.006821E-02    2.560078E-04
    1.034033E-02    2.629273E-04
    1.061244E-02    2.698468E-04
    1.088455E-02    2.767664E-04
    1.115667E-02    2.836860E-04
    1.142878E-02    2.906056E-04
    1.170090E-02    2.975253E-04
    1.197301E-02    3.044450E-04
    1.224512E-02    3.113647E-04
    1.251724E-02    3.182844E-04
    1.278935E-02    3.252042E-04
    1.306146E-02    3.321241E-04
    1.333358E-02    3.390439E-04
    1.360569E-02    3.459638E-04
    1.387781E-02    3.528838E-04
    1.414992E-02    3.598038E-04
    1.442203E-02    3.667238E-04
    1.469415E-02    3.736439E-04
