 #calculated the component:  2  2  of dielectric function
 #broadening:    0.000000E+00    2.000000E-03
 #scissors shift:    0.000000E+00
 #energy window:    6.866367E+01eV    2.523343E+00Ha

 # Energy(eV)         Im(eps(w))
    2.721138E-04    4.977450E-06
    5.442277E-04    9.954901E-06
    8.163415E-04    1.493235E-05
    1.088455E-03    1.990981E-05
    1.360569E-03    2.488726E-05
    1.632683E-03    2.986472E-05
    1.904797E-03    3.484217E-05
    2.176911E-03    3.981964E-05
    2.449025E-03    4.479710E-05
    2.721138E-03    4.977457E-05
    2.993252E-03    5.475204E-05
    3.265366E-03    5.972952E-05
    3.537480E-03    6.470700E-05
    3.809594E-03    6.968449E-05
    4.081708E-03    7.466198E-05
    4.353821E-03    7.963948E-05
    4.625935E-03    8.461698E-05
    4.898049E-03    8.959450E-05
    5.170163E-03    9.457201E-05
    5.442277E-03    9.954954E-05
    5.714391E-03    1.045271E-04
    5.986504E-03    1.095046E-04
    6.258618E-03    1.144822E-04
    6.530732E-03    1.194597E-04
    6.802846E-03    1.244373E-04
    7.074960E-03    1.294149E-04
    7.347074E-03    1.343925E-04
    7.619187E-03    1.393701E-04
    7.891301E-03    1.443477E-04
    8.163415E-03    1.493253E-04
    8.435529E-03    1.543030E-04
    8.707643E-03    1.592806E-04
    8.979757E-03    1.642583E-04
    9.251870E-03    1.692359E-04
    9.523984E-03    1.742136E-04
    9.796098E-03    1.791913E-04
    1.006821E-02    1.841690E-04
    1.034033E-02    1.891468E-04
    1.061244E-02    1.941245E-04
    1.088455E-02    1.991023E-04
    1.115667E-02    2.040801E-04
    1.142878E-02    2.090579E-04
    1.170090E-02    2.140357E-04
    1.197301E-02    2.190135E-04
    1.224512E-02    2.239914E-04
    1.251724E-02    2.289692E-04
    1.278935E-02    2.339471E-04
    1.306146E-02    2.389250E-04
    1.333358E-02    2.439029E-04
    1.360569E-02    2.488809E-04
    1.387781E-02    2.538588E-04
    1.414992E-02    2.588368E-04
    1.442203E-02    2.638148E-04
    1.469415E-02    2.687928E-04
    1.496626E-02    2.737709E-04
    1.523837E-02    2.787490E-04
    1.551049E-02    2.837271E-04
    1.578260E-02    2.887052E-04
    1.605472E-02    2.936833E-04
    1.632683E-02    2.986615E-04
    1.659894E-02    3.036396E-04
