 #calculated the component:  2  2  of dielectric function
 #broadening:    0.000000E+00    2.000000E-03
 #scissors shift:    0.000000E+00
 #energy window:    6.623492E+01eV    2.434089E+00Ha

 # Energy(eV)         Im(eps(w))
    2.721138E-04    2.020531E-06
    5.442277E-04    4.041063E-06
    8.163415E-04    6.061594E-06
    1.088455E-03    8.082126E-06
    1.360569E-03    1.010266E-05
    1.632683E-03    1.212319E-05
    1.904797E-03    1.414372E-05
    2.176911E-03    1.616426E-05
    2.449025E-03    1.818479E-05
    2.721138E-03    2.020533E-05
    2.993252E-03    2.222586E-05
    3.265366E-03    2.424640E-05
    3.537480E-03    2.626694E-05
    3.809594E-03    2.828748E-05
    4.081708E-03    3.030802E-05
    4.353821E-03    3.232856E-05
    4.625935E-03    3.434911E-05
    4.898049E-03    3.636965E-05
    5.170163E-03    3.839020E-05
    5.442277E-03    4.041075E-05
    5.714391E-03    4.243130E-05
    5.986504E-03    4.445185E-05
    6.258618E-03    4.647241E-05
    6.530732E-03    4.849296E-05
    6.802846E-03    5.051352E-05
    7.074960E-03    5.253408E-05
    7.347074E-03    5.455465E-05
    7.619187E-03    5.657521E-05
    7.891301E-03    5.859578E-05
    8.163415E-03    6.061636E-05
    8.435529E-03    6.263693E-05
    8.707643E-03    6.465751E-05
    8.979757E-03    6.667809E-05
    9.251870E-03    6.869867E-05
    9.523984E-03    7.071926E-05
    9.796098E-03    7.273985E-05
    1.006821E-02    7.476044E-05
    1.034033E-02    7.678104E-05
    1.061244E-02    7.880164E-05
    1.088455E-02    8.082224E-05
    1.115667E-02    8.284285E-05
    1.142878E-02    8.486346E-05
    1.170090E-02    8.688407E-05
    1.197301E-02    8.890469E-05
    1.224512E-02    9.092532E-05
    1.251724E-02    9.294594E-05
    1.278935E-02    9.496657E-05
    1.306146E-02    9.698721E-05
    1.333358E-02    9.900785E-05
    1.360569E-02    1.010285E-04
    1.387781E-02    1.030491E-04
    1.414992E-02    1.050698E-04
    1.442203E-02    1.070905E-04
    1.469415E-02    1.091111E-04
    1.496626E-02    1.111318E-04
    1.523837E-02    1.131525E-04
    1.551049E-02    1.151731E-04
    1.578260E-02    1.171938E-04
    1.605472E-02    1.192145E-04
    1.632683E-02    1.212352E-04
    1.659894E-02    1.232559E-04
    1.687106E-02    1.252766E-04
    1.714317E-02    1.272973E-04
    1.741529E-02    1.293181E-04
    1.768740E-02    1.313388E-04
    1.795951E-02    1.333595E-04
    1.823163E-02    1.353802E-04
    1.850374E-02    1.374010E-04
    1.877585E-02    1.394217E-04
    1.904797E-02    1.414425E-04
    1.932008E-02    1.434633E-04
    1.959220E-02    1.454840E-04
    1.986431E-02    1.475048E-04
    2.013642E-02    1.495256E-04
    2.040854E-02    1.515464E-04
    2.068065E-02    1.535672E-04
    2.095277E-02    1.555880E-04
    2.122488E-02    1.576088E-04
    2.149699E-02    1.596296E-04
    2.176911E-02    1.616504E-04
    2.204122E-02    1.636713E-04
    2.231333E-02    1.656921E-04
    2.258545E-02    1.677129E-04
    2.285756E-02    1.697338E-04
    2.312968E-02    1.717547E-04
    2.340179E-02    1.737755E-04
    2.367390E-02    1.757964E-04
    2.394602E-02    1.778173E-04
    2.421813E-02    1.798382E-04
    2.449025E-02    1.818591E-04
    2.476236E-02    1.838800E-04
    2.503447E-02    1.859009E-04
    2.530659E-02    1.879218E-04
    2.557870E-02    1.899428E-04
    2.585081E-02    1.919637E-04
    2.612293E-02    1.939847E-04
    2.639504E-02    1.960056E-04
    2.666716E-02    1.980266E-04
    2.693927E-02    2.000476E-04
    2.721138E-02    2.020686E-04
    2.748350E-02    2.040896E-04
    2.775561E-02    2.061106E-04
    2.802773E-02    2.081316E-04
    2.829984E-02    2.101527E-04
    2.857195E-02    2.121737E-04
    2.884407E-02    2.141947E-04
    2.911618E-02    2.162158E-04
