 #calculated the component:  2  2  of dielectric function
 #broadening:    0.000000E+00    2.000000E-03
 #scissors shift:    0.000000E+00
 #energy window:    6.793222E+01eV    2.496463E+00Ha

 # Energy(eV)         Im(eps(w))
    2.721138E-04    2.796354E-06
    5.442277E-04    5.592708E-06
    8.163415E-04    8.389062E-06
    1.088455E-03    1.118542E-05
    1.360569E-03    1.398177E-05
    1.632683E-03    1.677813E-05
    1.904797E-03    1.957449E-05
    2.176911E-03    2.237084E-05
    2.449025E-03    2.516720E-05
    2.721138E-03    2.796356E-05
    2.993252E-03    3.075993E-05
    3.265366E-03    3.355629E-05
    3.537480E-03    3.635266E-05
    3.809594E-03    3.914902E-05
    4.081708E-03    4.194539E-05
    4.353821E-03    4.474177E-05
    4.625935E-03    4.753814E-05
    4.898049E-03    5.033452E-05
    5.170163E-03    5.313090E-05
    5.442277E-03    5.592728E-05
    5.714391E-03    5.872367E-05
    5.986504E-03    6.152006E-05
    6.258618E-03    6.431645E-05
    6.530732E-03    6.711285E-05
    6.802846E-03    6.990925E-05
    7.074960E-03    7.270565E-05
    7.347074E-03    7.550206E-05
    7.619187E-03    7.829847E-05
    7.891301E-03    8.109489E-05
    8.163415E-03    8.389131E-05
    8.435529E-03    8.668773E-05
    8.707643E-03    8.948416E-05
    8.979757E-03    9.228060E-05
    9.251870E-03    9.507704E-05
    9.523984E-03    9.787349E-05
    9.796098E-03    1.006699E-04
    1.006821E-02    1.034664E-04
    1.034033E-02    1.062629E-04
    1.061244E-02    1.090593E-04
    1.088455E-02    1.118558E-04
    1.115667E-02    1.146523E-04
    1.142878E-02    1.174488E-04
    1.170090E-02    1.202453E-04
    1.197301E-02    1.230418E-04
    1.224512E-02    1.258383E-04
    1.251724E-02    1.286348E-04
    1.278935E-02    1.314313E-04
    1.306146E-02    1.342278E-04
    1.333358E-02    1.370244E-04
    1.360569E-02    1.398209E-04
    1.387781E-02    1.426175E-04
    1.414992E-02    1.454140E-04
    1.442203E-02    1.482106E-04
    1.469415E-02    1.510071E-04
    1.496626E-02    1.538037E-04
    1.523837E-02    1.566003E-04
    1.551049E-02    1.593969E-04
    1.578260E-02    1.621935E-04
    1.605472E-02    1.649901E-04
    1.632683E-02    1.677868E-04
    1.659894E-02    1.705834E-04
    1.687106E-02    1.733801E-04
    1.714317E-02    1.761767E-04
    1.741529E-02    1.789734E-04
    1.768740E-02    1.817700E-04
    1.795951E-02    1.845667E-04
    1.823163E-02    1.873634E-04
    1.850374E-02    1.901601E-04
    1.877585E-02    1.929568E-04
    1.904797E-02    1.957536E-04
    1.932008E-02    1.985503E-04
    1.959220E-02    2.013471E-04
    1.986431E-02    2.041438E-04
    2.013642E-02    2.069406E-04
    2.040854E-02    2.097374E-04
    2.068065E-02    2.125342E-04
    2.095277E-02    2.153310E-04
    2.122488E-02    2.181278E-04
    2.149699E-02    2.209246E-04
    2.176911E-02    2.237214E-04
    2.204122E-02    2.265183E-04
    2.231333E-02    2.293152E-04
    2.258545E-02    2.321120E-04
    2.285756E-02    2.349089E-04
    2.312968E-02    2.377058E-04
    2.340179E-02    2.405028E-04
    2.367390E-02    2.432997E-04
    2.394602E-02    2.460966E-04
    2.421813E-02    2.488936E-04
    2.449025E-02    2.516906E-04
    2.476236E-02    2.544875E-04
    2.503447E-02    2.572845E-04
    2.530659E-02    2.600816E-04
    2.557870E-02    2.628786E-04
    2.585081E-02    2.656756E-04
    2.612293E-02    2.684727E-04
    2.639504E-02    2.712697E-04
    2.666716E-02    2.740668E-04
    2.693927E-02    2.768639E-04
    2.721138E-02    2.796611E-04
    2.748350E-02    2.824582E-04
    2.775561E-02    2.852553E-04
    2.802773E-02    2.880525E-04
    2.829984E-02    2.908497E-04
    2.857195E-02    2.936469E-04
    2.884407E-02    2.964441E-04
    2.911618E-02    2.992413E-04
    2.938829E-02    3.020385E-04
    2.966041E-02    3.048358E-04
    2.993252E-02    3.076331E-04
    3.020464E-02    3.104304E-04
    3.047675E-02    3.132277E-04
    3.074886E-02    3.160250E-04
    3.102098E-02    3.188224E-04
    3.129309E-02    3.216197E-04
    3.156521E-02    3.244171E-04
    3.183732E-02    3.272145E-04
    3.210943E-02    3.300119E-04
    3.238155E-02    3.328094E-04
    3.265366E-02    3.356068E-04
    3.292577E-02    3.384043E-04
    3.319789E-02    3.412018E-04
    3.347000E-02    3.439993E-04
    3.374212E-02    3.467968E-04
    3.401423E-02    3.495944E-04
    3.428634E-02    3.523919E-04
    3.455846E-02    3.551895E-04
    3.483057E-02    3.579871E-04
    3.510269E-02    3.607847E-04
    3.537480E-02    3.635824E-04
    3.564691E-02    3.663801E-04
    3.591903E-02    3.691777E-04
    3.619114E-02    3.719754E-04
    3.646325E-02    3.747732E-04
    3.673537E-02    3.775709E-04
    3.700748E-02    3.803687E-04
    3.727960E-02    3.831665E-04
    3.755171E-02    3.859643E-04
    3.782382E-02    3.887621E-04
    3.809594E-02    3.915600E-04
    3.836805E-02    3.943578E-04
    3.864017E-02    3.971557E-04
    3.891228E-02    3.999537E-04
    3.918439E-02    4.027516E-04
    3.945651E-02    4.055496E-04
    3.972862E-02    4.083475E-04
    4.000073E-02    4.111455E-04
    4.027285E-02    4.139436E-04
    4.054496E-02    4.167416E-04
    4.081708E-02    4.195397E-04
    4.108919E-02    4.223378E-04
    4.136130E-02    4.251359E-04
    4.163342E-02    4.279341E-04
    4.190553E-02    4.307322E-04
    4.217764E-02    4.335304E-04
    4.244976E-02    4.363286E-04
    4.272187E-02    4.391269E-04
    4.299399E-02    4.419252E-04
    4.326610E-02    4.447234E-04
    4.353821E-02    4.475218E-04
    4.381033E-02    4.503201E-04
    4.408244E-02    4.531185E-04
    4.435456E-02    4.559168E-04
    4.462667E-02    4.587153E-04
    4.489878E-02    4.615137E-04
    4.517090E-02    4.643122E-04
    4.544301E-02    4.671106E-04
    4.571512E-02    4.699092E-04
    4.598724E-02    4.727077E-04
    4.625935E-02    4.755063E-04
    4.653147E-02    4.783049E-04
    4.680358E-02    4.811035E-04
    4.707569E-02    4.839021E-04
    4.734781E-02    4.867008E-04
    4.761992E-02    4.894995E-04
    4.789204E-02    4.922982E-04
    4.816415E-02    4.950970E-04
    4.843626E-02    4.978958E-04
    4.870838E-02    5.006946E-04
    4.898049E-02    5.034934E-04
    4.925260E-02    5.062923E-04
