 #calculated the component:  2  2  of dielectric function
 #broadening:    0.000000E+00    2.000000E-03
 #scissors shift:    0.000000E+00
 #energy window:    6.513396E+01eV    2.393629E+00Ha

 # Energy(eV)         Im(eps(w))
    2.721138E-04    7.632806E-06
    5.442277E-04    1.526561E-05
    8.163415E-04    2.289842E-05
    1.088455E-03    3.053123E-05
    1.360569E-03    3.816405E-05
    1.632683E-03    4.579687E-05
    1.904797E-03    5.342970E-05
    2.176911E-03    6.106253E-05
    2.449025E-03    6.869537E-05
    2.721138E-03    7.632821E-05
    2.993252E-03    8.396107E-05
    3.265366E-03    9.159394E-05
    3.537480E-03    9.922681E-05
    3.809594E-03    1.068597E-04
    4.081708E-03    1.144926E-04
    4.353821E-03    1.221255E-04
    4.625935E-03    1.297585E-04
    4.898049E-03    1.373914E-04
    5.170163E-03    1.450244E-04
    5.442277E-03    1.526573E-04
    5.714391E-03    1.602903E-04
    5.986504E-03    1.679234E-04
    6.258618E-03    1.755564E-04
    6.530732E-03    1.831895E-04
    6.802846E-03    1.908225E-04
    7.074960E-03    1.984556E-04
    7.347074E-03    2.060888E-04
    7.619187E-03    2.137219E-04
    7.891301E-03    2.213551E-04
    8.163415E-03    2.289883E-04
    8.435529E-03    2.366215E-04
    8.707643E-03    2.442548E-04
    8.979757E-03    2.518881E-04
    9.251870E-03    2.595214E-04
    9.523984E-03    2.671547E-04
    9.796098E-03    2.747881E-04
    1.006821E-02    2.824215E-04
    1.034033E-02    2.900550E-04
    1.061244E-02    2.976885E-04
    1.088455E-02    3.053220E-04
    1.115667E-02    3.129556E-04
    1.142878E-02    3.205891E-04
    1.170090E-02    3.282228E-04
    1.197301E-02    3.358564E-04
    1.224512E-02    3.434902E-04
    1.251724E-02    3.511239E-04
    1.278935E-02    3.587577E-04
    1.306146E-02    3.663915E-04
    1.333358E-02    3.740254E-04
    1.360569E-02    3.816593E-04
    1.387781E-02    3.892933E-04
    1.414992E-02    3.969273E-04
    1.442203E-02    4.045614E-04
    1.469415E-02    4.121955E-04
    1.496626E-02    4.198297E-04
    1.523837E-02    4.274639E-04
    1.551049E-02    4.350982E-04
    1.578260E-02    4.427325E-04
    1.605472E-02    4.503668E-04
    1.632683E-02    4.580013E-04
    1.659894E-02    4.656358E-04
    1.687106E-02    4.732703E-04
    1.714317E-02    4.809049E-04
    1.741529E-02    4.885395E-04
    1.768740E-02    4.961742E-04
    1.795951E-02    5.038090E-04
    1.823163E-02    5.114438E-04
    1.850374E-02    5.190787E-04
    1.877585E-02    5.267137E-04
    1.904797E-02    5.343487E-04
    1.932008E-02    5.419838E-04
    1.959220E-02    5.496189E-04
    1.986431E-02    5.572541E-04
    2.013642E-02    5.648894E-04
    2.040854E-02    5.725247E-04
    2.068065E-02    5.801601E-04
    2.095277E-02    5.877956E-04
    2.122488E-02    5.954312E-04
    2.149699E-02    6.030668E-04
    2.176911E-02    6.107025E-04
    2.204122E-02    6.183383E-04
    2.231333E-02    6.259741E-04
    2.258545E-02    6.336100E-04
    2.285756E-02    6.412460E-04
    2.312968E-02    6.488821E-04
    2.340179E-02    6.565182E-04
    2.367390E-02    6.641545E-04
    2.394602E-02    6.717908E-04
    2.421813E-02    6.794271E-04
    2.449025E-02    6.870636E-04
    2.476236E-02    6.947002E-04
    2.503447E-02    7.023368E-04
    2.530659E-02    7.099735E-04
    2.557870E-02    7.176103E-04
    2.585081E-02    7.252472E-04
    2.612293E-02    7.328842E-04
    2.639504E-02    7.405212E-04
    2.666716E-02    7.481584E-04
    2.693927E-02    7.557956E-04
    2.721138E-02    7.634330E-04
    2.748350E-02    7.710704E-04
    2.775561E-02    7.787079E-04
    2.802773E-02    7.863455E-04
    2.829984E-02    7.939832E-04
    2.857195E-02    8.016210E-04
    2.884407E-02    8.092589E-04
    2.911618E-02    8.168969E-04
    2.938829E-02    8.245350E-04
    2.966041E-02    8.321732E-04
    2.993252E-02    8.398115E-04
