 #calculated the component:  2  2  of dielectric function
 #broadening:    0.000000E+00    2.000000E-03
 #scissors shift:    0.000000E+00
 #energy window:    6.712161E+01eV    2.466674E+00Ha

 # Energy(eV)         Im(eps(w))
    2.721138E-04    1.972080E-05
    5.442277E-04    3.944160E-05
    8.163415E-04    5.916241E-05
    1.088455E-03    7.888323E-05
    1.360569E-03    9.860406E-05
    1.632683E-03    1.183249E-04
    1.904797E-03    1.380458E-04
    2.176911E-03    1.577667E-04
    2.449025E-03    1.774876E-04
    2.721138E-03    1.972086E-04
    2.993252E-03    2.169296E-04
    3.265366E-03    2.366506E-04
    3.537480E-03    2.563717E-04
    3.809594E-03    2.760929E-04
    4.081708E-03    2.958141E-04
    4.353821E-03    3.155353E-04
    4.625935E-03    3.352566E-04
    4.898049E-03    3.549780E-04
    5.170163E-03    3.746994E-04
    5.442277E-03    3.944209E-04
    5.714391E-03    4.141425E-04
    5.986504E-03    4.338641E-04
    6.258618E-03    4.535859E-04
    6.530732E-03    4.733077E-04
    6.802846E-03    4.930296E-04
    7.074960E-03    5.127516E-04
    7.347074E-03    5.324737E-04
    7.619187E-03    5.521960E-04
    7.891301E-03    5.719183E-04
    8.163415E-03    5.916407E-04
    8.435529E-03    6.113632E-04
    8.707643E-03    6.310859E-04
    8.979757E-03    6.508086E-04
    9.251870E-03    6.705315E-04
    9.523984E-03    6.902545E-04
    9.796098E-03    7.099777E-04
    1.006821E-02    7.297010E-04
    1.034033E-02    7.494244E-04
    1.061244E-02    7.691479E-04
    1.088455E-02    7.888716E-04
    1.115667E-02    8.085955E-04
    1.142878E-02    8.283195E-04
    1.170090E-02    8.480437E-04
    1.197301E-02    8.677680E-04
    1.224512E-02    8.874925E-04
    1.251724E-02    9.072171E-04
    1.278935E-02    9.269419E-04
    1.306146E-02    9.466670E-04
    1.333358E-02    9.663921E-04
    1.360569E-02    9.861175E-04
    1.387781E-02    1.005843E-03
    1.414992E-02    1.025569E-03
    1.442203E-02    1.045295E-03
    1.469415E-02    1.065021E-03
    1.496626E-02    1.084747E-03
    1.523837E-02    1.104474E-03
    1.551049E-02    1.124200E-03
    1.578260E-02    1.143927E-03
    1.605472E-02    1.163655E-03
    1.632683E-02    1.183382E-03
    1.659894E-02    1.203110E-03
    1.687106E-02    1.222837E-03
    1.714317E-02    1.242566E-03
    1.741529E-02    1.262294E-03
    1.768740E-02    1.282022E-03
    1.795951E-02    1.301751E-03
    1.823163E-02    1.321480E-03
    1.850374E-02    1.341210E-03
    1.877585E-02    1.360939E-03
    1.904797E-02    1.380669E-03
    1.932008E-02    1.400399E-03
    1.959220E-02    1.420129E-03
    1.986431E-02    1.439860E-03
    2.013642E-02    1.459591E-03
    2.040854E-02    1.479322E-03
    2.068065E-02    1.499053E-03
    2.095277E-02    1.518785E-03
    2.122488E-02    1.538517E-03
    2.149699E-02    1.558249E-03
    2.176911E-02    1.577982E-03
    2.204122E-02    1.597715E-03
    2.231333E-02    1.617448E-03
    2.258545E-02    1.637181E-03
    2.285756E-02    1.656915E-03
    2.312968E-02    1.676649E-03
    2.340179E-02    1.696384E-03
    2.367390E-02    1.716118E-03
    2.394602E-02    1.735854E-03
    2.421813E-02    1.755589E-03
    2.449025E-02    1.775325E-03
    2.476236E-02    1.795061E-03
    2.503447E-02    1.814797E-03
    2.530659E-02    1.834534E-03
    2.557870E-02    1.854271E-03
    2.585081E-02    1.874008E-03
    2.612293E-02    1.893746E-03
    2.639504E-02    1.913484E-03
    2.666716E-02    1.933223E-03
    2.693927E-02    1.952962E-03
    2.721138E-02    1.972701E-03
    2.748350E-02    1.992441E-03
    2.775561E-02    2.012181E-03
    2.802773E-02    2.031921E-03
    2.829984E-02    2.051662E-03
    2.857195E-02    2.071403E-03
    2.884407E-02    2.091145E-03
    2.911618E-02    2.110886E-03
    2.938829E-02    2.130629E-03
    2.966041E-02    2.150372E-03
    2.993252E-02    2.170115E-03
    3.020464E-02    2.189858E-03
    3.047675E-02    2.209602E-03
    3.074886E-02    2.229347E-03
    3.102098E-02    2.249091E-03
    3.129309E-02    2.268837E-03
    3.156521E-02    2.288582E-03
    3.183732E-02    2.308328E-03
    3.210943E-02    2.328075E-03
    3.238155E-02    2.347822E-03
    3.265366E-02    2.367569E-03
    3.292577E-02    2.387317E-03
    3.319789E-02    2.407066E-03
    3.347000E-02    2.426814E-03
    3.374212E-02    2.446564E-03
    3.401423E-02    2.466313E-03
    3.428634E-02    2.486063E-03
    3.455846E-02    2.505814E-03
    3.483057E-02    2.525565E-03
    3.510269E-02    2.545317E-03
    3.537480E-02    2.565069E-03
    3.564691E-02    2.584821E-03
    3.591903E-02    2.604575E-03
    3.619114E-02    2.624328E-03
    3.646325E-02    2.644082E-03
    3.673537E-02    2.663837E-03
    3.700748E-02    2.683592E-03
    3.727960E-02    2.703347E-03
    3.755171E-02    2.723103E-03
    3.782382E-02    2.742860E-03
    3.809594E-02    2.762617E-03
    3.836805E-02    2.782375E-03
    3.864017E-02    2.802133E-03
    3.891228E-02    2.821891E-03
    3.918439E-02    2.841651E-03
    3.945651E-02    2.861410E-03
    3.972862E-02    2.881171E-03
    4.000073E-02    2.900931E-03
    4.027285E-02    2.920693E-03
    4.054496E-02    2.940455E-03
    4.081708E-02    2.960217E-03
    4.108919E-02    2.979980E-03
    4.136130E-02    2.999744E-03
    4.163342E-02    3.019508E-03
    4.190553E-02    3.039273E-03
